"State","City"
"Tripura","Kailashahar"
"Tripura","Kamalpur"
"Tripura","Khowai"
"Tripura","Kumarghat"
"Tripura","Melaghar"
"Tripura","Mohanpur"
"Tripura","Ranirbazar"
"Tripura","Sabroom"
"Tripura","Santirbazar"
"Tripura","Sonamura"
"Tripura","Teliamura"
"Tripura","Udaipur"
"Uttar Pradesh","Agra"
"Uttar Pradesh","Aligarh"
"Uttar Pradesh","Allahabad"
"Uttar Pradesh","Amroha"
"Uttar Pradesh","Ayodhya"
"Uttar Pradesh","Azamgarh"
"Uttar Pradesh","Bahraich"
"Uttar Pradesh","Ballia"
"Uttar Pradesh","Banda"
"Uttar Pradesh","Barabanki"
"Uttar Pradesh","Baraut"
"Uttar Pradesh","Bareilly"
"Uttar Pradesh","Basti"
"Uttar Pradesh","Budaun"
"Uttar Pradesh","Bulandshahr"
"Uttar Pradesh","Chandausi"
"Uttar Pradesh","Deoria"
"Uttar Pradesh","Etah"
"Uttar Pradesh","Etawah"
"Uttar Pradesh","Faizabad"
"Uttar Pradesh","Farrukhabad"
"Uttar Pradesh","Fatehpur"
"Uttar Pradesh","Firozabad"
"Uttar Pradesh","Ghaziabad"
"Uttar Pradesh","Ghazipur"
"Uttar Pradesh","Gonda"
"Uttar Pradesh","Gorakhpur"
"Uttar Pradesh","Greater Noida"
"Uttar Pradesh","Hapur"
"Uttar Pradesh","Hardoi"
"Uttar Pradesh","Jaunpur"
"Uttar Pradesh","Jhansi"
"Uttar Pradesh","Kanpur"
"Uttar Pradesh","Kasganj"
"Uttar Pradesh","Khurja"
"Uttar Pradesh","Lakhimpur"
"Uttar Pradesh","Lalitpur"
"Uttar Pradesh","Lucknow"
"Uttar Pradesh","Mainpuri"
"Uttar Pradesh","Mathura"
"Uttar Pradesh","Mau"
"Uttar Pradesh","Meerut"
"Uttar Pradesh","Mirzapur"
"Uttar Pradesh","Modinagar"
"Uttar Pradesh","Moradabad"
"Uttar Pradesh","Muzaffarnagar"
"Uttar Pradesh","Noida"
"Uttar Pradesh","Orai"
"Uttar Pradesh","Pilibhit"
"Uttar Pradesh","Prayagraj"
"Uttar Pradesh","Raebareli"
"Uttar Pradesh","Rampur"
"Uttar Pradesh","Saharanpur"
"Uttar Pradesh","Sambhal"
"Uttar Pradesh","Shahjahanpur"
"Uttar Pradesh","Shamli"
"Uttar Pradesh","Shikohabad"
"Uttar Pradesh","Sitapur"
"Uttar Pradesh","Sultanpur"
"Uttar Pradesh","Unnao"
"Uttar Pradesh","Varanasi"
"Uttarakhand","Dehradun"
"Uttarakhand","Haldwani"
"Uttarakhand","Haridwar"
"Uttarakhand","Kashipur"
"Uttarakhand","Rishikesh"
"Uttarakhand","Roorkee"
"Uttarakhand","Rudrapur"
"West Bengal","Alipurduar"
"West Bengal","Asansol"
"West Bengal","Baduria"
"West Bengal","Baidyabati"
"West Bengal","Balurghat"
"West Bengal","Bangaon"
"West Bengal","Bankura"
"West Bengal","Bansberia"
"West Bengal","Baranagar"
"West Bengal","Barasat"
"West Bengal","Bardhaman"
"West Bengal","Barrackpore"
"West Bengal","Basirhat"
"West Bengal","Berhampore"
"West Bengal","Bhadreswar"
"West Bengal","Bishnupur"
"West Bengal","Bolpur"
"West Bengal","Buniadpur"
"West Bengal","Champdani"
"West Bengal","Chandannagar"
"West Bengal","Contai"
"West Bengal","Coch Behar"
"West Bengal","Dalkhola"
"West Bengal","Darjeeling"
"West Bengal","Dhupguri"
"West Bengal","Diamond Harbour"
"West Bengal","Dinhata"
"West Bengal","Dubrajpur"
"West Bengal","Dum Dum"
"West Bengal","Durgapur"
"West Bengal","Haldia"
"West Bengal","Howrah"
"West Bengal","Jalpaiguri"
"West Bengal","Jaynagar Majilpur"
"West Bengal","Kaliaganj"
"West Bengal","Kamarhati"
"West Bengal","Kanchrapara"
"West Bengal","Kharagpur"
"West Bengal","Khardaha"
"West Bengal","Khirpai"
"West Bengal","Kolkata"
"West Bengal","Krishnanagar"
"West Bengal","Malda"
"West Bengal","Murshidabad"
"West Bengal","Purulia"
"West Bengal","Raiganj"
"West Bengal","Shantipur"
"West Bengal","Siliguri"
"Andaman and Nicobar Islands","Port Blair"
"Chandigarh","Chandigarh"
"Dadra and Nagar Haveli and Daman and Diu","Daman"
"Delhi","New Delhi"
"Jammu and Kashmir","Srinagar"
"Jammu and Kashmir","Jammu"
"Ladakh","Leh"
"Lakshadweep","Kavaratti"
"Puducherry","Puducherry"
